A,A_wells,A_area,B,B_wells,B_area,inter_km2,pct_of_smaller,pct_of_larger,jaccard
Cenovus Energy Inc.,5874,530534.1,Canadian Natural Resources Limited,20769,554574.5,509214.6,95.98,91.82,88.42
Cenovus Energy Inc.,5874,530534.1,Imperial Oil Resources Limited,1699,479238.5,476289.9,99.38,89.78,89.28
Canadian Natural Resources Limited,20769,554574.5,ConocoPhillips Canada Resources Corp.,924,472212.7,468421.5,99.2,84.47,83.89
Canadian Natural Resources Limited,20769,554574.5,Imperial Oil Resources Limited,1699,479238.5,468123.3,97.68,84.41,82.75
Cenovus Energy Inc.,5874,530534.1,ConocoPhillips Canada Resources Corp.,924,472212.7,466316.2,98.75,87.9,86.93
Imperial Oil Resources Limited,1699,479238.5,ConocoPhillips Canada Resources Corp.,924,472212.7,446041.4,94.46,93.07,88.25
Canadian Natural Resources Limited,20769,554574.5,TAQA North Ltd.,898,443236.8,442273.1,99.78,79.75,79.61
Canadian Natural Resources Limited,20769,554574.5,Paramount Resources Ltd.,1961,420095.3,420095.3,100.0,75.75,75.75
Cenovus Energy Inc.,5874,530534.1,Paramount Resources Ltd.,1961,420095.3,419855.1,99.94,79.14,79.1
Paramount Resources Ltd.,1961,420095.3,Imperial Oil Resources Limited,1699,479238.5,415688.3,98.95,86.74,85.95
Paramount Resources Ltd.,1961,420095.3,ConocoPhillips Canada Resources Corp.,924,472212.7,411030.4,97.84,87.04,85.4
Cenovus Energy Inc.,5874,530534.1,TAQA North Ltd.,898,443236.8,409926.3,92.48,77.27,72.7
Canadian Natural Resources Limited,20769,554574.5,Prairie Provident Resources Canada Ltd.,977,403193.9,403171.9,99.99,72.7,72.7
Canadian Natural Resources Limited,20769,554574.5,Harvest Operations Corp.,2067,394311.8,394308.4,100.0,71.1,71.1
TAQA North Ltd.,898,443236.8,Imperial Oil Resources Limited,1699,479238.5,391111.2,88.24,81.61,73.61
TAQA North Ltd.,898,443236.8,ConocoPhillips Canada Resources Corp.,924,472212.7,390894.2,88.19,82.78,74.52
Canadian Natural Resources Limited,20769,554574.5,SanLing Energy Ltd.,1105,388237.4,386599.4,99.58,69.71,69.51
Cenovus Energy Inc.,5874,530534.1,Harvest Operations Corp.,2067,394311.8,386133.9,97.93,72.78,71.68
TAQA North Ltd.,898,443236.8,Harvest Operations Corp.,2067,394311.8,385072.0,97.66,86.88,85.1
Cenovus Energy Inc.,5874,530534.1,Prairie Provident Resources Canada Ltd.,977,403193.9,382376.4,94.84,72.07,69.35
TAQA North Ltd.,898,443236.8,Paramount Resources Ltd.,1961,420095.3,380257.6,90.52,85.79,78.72
Cenovus Energy Inc.,5874,530534.1,Blue Sky Resources Ltd.,983,376771.1,376771.1,100.0,71.02,71.02
Canadian Natural Resources Limited,20769,554574.5,Blue Sky Resources Ltd.,983,376771.1,376771.1,100.0,67.94,67.94
TAQA North Ltd.,898,443236.8,SanLing Energy Ltd.,1105,388237.4,376156.5,96.89,84.87,82.61
Cenovus Energy Inc.,5874,530534.1,SanLing Energy Ltd.,1105,388237.4,375936.0,96.83,70.86,69.25
Blue Sky Resources Ltd.,983,376771.1,Imperial Oil Resources Limited,1699,479238.5,375633.0,99.7,78.38,78.2
Canadian Natural Resources Limited,20769,554574.5,Tourmaline Oil Corp.,1331,374838.5,374835.1,100.0,67.59,67.59
Cenovus Energy Inc.,5874,530534.1,Tourmaline Oil Corp.,1331,374838.5,374223.5,99.84,70.54,70.46
TAQA North Ltd.,898,443236.8,Prairie Provident Resources Canada Ltd.,977,403193.9,372629.4,92.42,84.07,78.65
Blue Sky Resources Ltd.,983,376771.1,ConocoPhillips Canada Resources Corp.,924,472212.7,371903.1,98.71,78.76,77.95
Imperial Oil Resources Limited,1699,479238.5,Harvest Operations Corp.,2067,394311.8,369903.6,93.81,77.19,73.45
TAQA North Ltd.,898,443236.8,Tourmaline Oil Corp.,1331,374838.5,366276.1,97.72,82.64,81.07
ConocoPhillips Canada Resources Corp.,924,472212.7,Tourmaline Oil Corp.,1331,374838.5,366222.1,97.7,77.55,76.16
Harvest Operations Corp.,2067,394311.8,ConocoPhillips Canada Resources Corp.,924,472212.7,364300.8,92.39,77.15,72.54
Imperial Oil Resources Limited,1699,479238.5,Tourmaline Oil Corp.,1331,374838.5,363265.4,96.91,75.8,74.01
Blue Sky Resources Ltd.,983,376771.1,Paramount Resources Ltd.,1961,420095.3,363016.6,96.35,86.41,83.67
Harvest Operations Corp.,2067,394311.8,Prairie Provident Resources Canada Ltd.,977,403193.9,362469.9,91.92,89.9,83.32
Imperial Oil Resources Limited,1699,479238.5,SanLing Energy Ltd.,1105,388237.4,360140.1,92.76,75.15,70.99
Paramount Resources Ltd.,1961,420095.3,Harvest Operations Corp.,2067,394311.8,359416.2,91.15,85.56,78.99
Imperial Oil Resources Limited,1699,479238.5,Prairie Provident Resources Canada Ltd.,977,403193.9,358836.4,89.0,74.88,68.53
Harvest Operations Corp.,2067,394311.8,Tourmaline Oil Corp.,1331,374838.5,356831.2,95.2,90.49,86.54
Canadian Natural Resources Limited,20769,554574.5,Canlin Energy Corporation,1376,356522.5,356424.3,99.97,64.27,64.26
Paramount Resources Ltd.,1961,420095.3,Tourmaline Oil Corp.,1331,374838.5,356150.6,95.01,84.78,81.17
Prairie Provident Resources Canada Ltd.,977,403193.9,ConocoPhillips Canada Resources Corp.,924,472212.7,355583.3,88.19,75.3,68.4
TAQA North Ltd.,898,443236.8,Canlin Energy Corporation,1376,356522.5,351544.8,98.6,79.31,78.43
Canadian Natural Resources Limited,20769,554574.5,Long Run Exploration Ltd.,1077,351216.8,351044.0,99.95,63.3,63.28
Cenovus Energy Inc.,5874,530534.1,Long Run Exploration Ltd.,1077,351216.8,350605.9,99.83,66.09,66.01
Harvest Operations Corp.,2067,394311.8,SanLing Energy Ltd.,1105,388237.4,349695.0,90.07,88.68,80.79
SanLing Energy Ltd.,1105,388237.4,ConocoPhillips Canada Resources Corp.,924,472212.7,346918.6,89.36,73.47,67.56
Paramount Resources Ltd.,1961,420095.3,SanLing Energy Ltd.,1105,388237.4,346797.4,89.33,82.55,75.14
TAQA North Ltd.,898,443236.8,Long Run Exploration Ltd.,1077,351216.8,345349.2,98.33,77.92,76.9
Cenovus Energy Inc.,5874,530534.1,West Lake Energy Corp.,1130,344640.8,344640.8,100.0,64.96,64.96
Canadian Natural Resources Limited,20769,554574.5,Canadian Oil & Gas International Inc.,454,344600.4,344586.9,100.0,62.14,62.13
Canadian Natural Resources Limited,20769,554574.5,West Lake Energy Corp.,1130,344640.8,344022.9,99.82,62.03,61.96
Cenovus Energy Inc.,5874,530534.1,Canadian Oil & Gas International Inc.,454,344600.4,343685.0,99.73,64.78,64.67
Cenovus Energy Inc.,5874,530534.1,Canlin Energy Corporation,1376,356522.5,342174.1,95.98,64.5,62.8
Long Run Exploration Ltd.,1077,351216.8,SanLing Energy Ltd.,1105,388237.4,340182.6,96.86,87.62,85.2
Canlin Energy Corporation,1376,356522.5,SanLing Energy Ltd.,1105,388237.4,340145.9,95.41,87.61,84.07
Paramount Resources Ltd.,1961,420095.3,Prairie Provident Resources Canada Ltd.,977,403193.9,339412.5,84.18,80.79,70.14
Imperial Oil Resources Limited,1699,479238.5,Canadian Oil & Gas International Inc.,454,344600.4,339331.3,98.47,70.81,70.04
TAQA North Ltd.,898,443236.8,Blue Sky Resources Ltd.,983,376771.1,339216.0,90.03,76.53,70.55
Prairie Provident Resources Canada Ltd.,977,403193.9,Tourmaline Oil Corp.,1331,374838.5,338398.5,90.28,83.93,76.97
Imperial Oil Resources Limited,1699,479238.5,Long Run Exploration Ltd.,1077,351216.8,338349.1,96.34,70.6,68.76
West Lake Energy Corp.,1130,344640.8,ConocoPhillips Canada Resources Corp.,924,472212.7,338259.9,98.15,71.63,70.68
Prairie Provident Resources Canada Ltd.,977,403193.9,SanLing Energy Ltd.,1105,388237.4,335885.5,86.52,83.31,73.73
Imperial Oil Resources Limited,1699,479238.5,West Lake Energy Corp.,1130,344640.8,335223.4,97.27,69.95,68.6
Canadian Natural Resources Limited,20769,554574.5,Lexin Resources Ltd.,852,334562.2,334562.2,100.0,60.33,60.33
Canadian Natural Resources Limited,20769,554574.5,Manitok Energy Inc.,482,332570.5,332560.1,100.0,59.97,59.97
Cenovus Energy Inc.,5874,530534.1,Manitok Energy Inc.,482,332570.5,332526.8,99.99,62.68,62.67
ConocoPhillips Canada Resources Corp.,924,472212.7,Canadian Oil & Gas International Inc.,454,344600.4,332459.0,96.48,70.4,68.64
Canlin Energy Corporation,1376,356522.5,Harvest Operations Corp.,2067,394311.8,331948.7,93.11,84.18,79.25
Blue Sky Resources Ltd.,983,376771.1,Tourmaline Oil Corp.,1331,374838.5,331644.9,88.48,88.02,78.97
Prairie Provident Resources Canada Ltd.,977,403193.9,Canadian Oil & Gas International Inc.,454,344600.4,331521.9,96.2,82.22,79.64
Canlin Energy Corporation,1376,356522.5,Imperial Oil Resources Limited,1699,479238.5,330327.8,92.65,68.93,65.36
TAQA North Ltd.,898,443236.8,Manitok Energy Inc.,482,332570.5,330163.1,99.28,74.49,74.09
Canadian Natural Resources Limited,20769,554574.5,Strathcona Resources Ltd.,739,328898.8,328869.2,99.99,59.3,59.3
Cenovus Energy Inc.,5874,530534.1,Strathcona Resources Ltd.,739,328898.8,328555.5,99.9,61.93,61.89
Harvest Operations Corp.,2067,394311.8,Long Run Exploration Ltd.,1077,351216.8,328438.4,93.51,83.29,78.75
Long Run Exploration Ltd.,1077,351216.8,ConocoPhillips Canada Resources Corp.,924,472212.7,328301.0,93.48,69.52,66.31
Canlin Energy Corporation,1376,356522.5,Long Run Exploration Ltd.,1077,351216.8,328224.6,93.45,92.06,86.49
SanLing Energy Ltd.,1105,388237.4,Tourmaline Oil Corp.,1331,374838.5,328168.9,87.55,84.53,75.46
Paramount Resources Ltd.,1961,420095.3,Long Run Exploration Ltd.,1077,351216.8,327874.5,93.35,78.05,73.94
Canadian Natural Resources Limited,20769,554574.5,Baytex Energy Ltd.,999,327003.4,327003.4,100.0,58.96,58.96
Cenovus Energy Inc.,5874,530534.1,Baytex Energy Ltd.,999,327003.4,326994.0,100.0,61.63,61.63
Strathcona Resources Ltd.,739,328898.8,ConocoPhillips Canada Resources Corp.,924,472212.7,325495.2,98.97,68.93,68.44
Blue Sky Resources Ltd.,983,376771.1,Harvest Operations Corp.,2067,394311.8,325322.6,86.34,82.5,72.98
Canlin Energy Corporation,1376,356522.5,ConocoPhillips Canada Resources Corp.,924,472212.7,323977.7,90.87,68.61,64.18
Baytex Energy Ltd.,999,327003.4,Harvest Operations Corp.,2067,394311.8,323828.5,99.03,82.12,81.47
TAQA North Ltd.,898,443236.8,Baytex Energy Ltd.,999,327003.4,323204.9,98.84,72.92,72.3
Canadian Natural Resources Limited,20769,554574.5,Vermilion Energy Inc.,321,323169.2,323163.6,100.0,58.27,58.27
Baytex Energy Ltd.,999,327003.4,Prairie Provident Resources Canada Ltd.,977,403193.9,322844.0,98.73,80.07,79.25
TAQA North Ltd.,898,443236.8,Vermilion Energy Inc.,321,323169.2,322740.6,99.87,72.81,72.74
Canadian Natural Resources Limited,20769,554574.5,Obsidian Energy Ltd.,1729,323028.8,322434.8,99.82,58.14,58.08
Blue Sky Resources Ltd.,983,376771.1,Prairie Provident Resources Canada Ltd.,977,403193.9,322431.8,85.58,79.97,70.47
Cenovus Energy Inc.,5874,530534.1,Obsidian Energy Ltd.,1729,323028.8,322394.1,99.8,60.77,60.7
Cenovus Energy Inc.,5874,530534.1,Lexin Resources Ltd.,852,334562.2,320670.3,95.85,60.44,58.9
Harvest Operations Corp.,2067,394311.8,Manitok Energy Inc.,482,332570.5,320601.3,96.4,81.31,78.91
Long Run Exploration Ltd.,1077,351216.8,Tourmaline Oil Corp.,1331,374838.5,320429.7,91.23,85.48,79.0
Imperial Oil Resources Limited,1699,479238.5,Manitok Energy Inc.,482,332570.5,320228.9,96.29,66.82,65.14
West Lake Energy Corp.,1130,344640.8,Prairie Provident Resources Canada Ltd.,977,403193.9,320224.8,92.92,79.42,74.89
Baytex Energy Ltd.,999,327003.4,ConocoPhillips Canada Resources Corp.,924,472212.7,320093.9,97.89,67.79,66.81
Canlin Energy Corporation,1376,356522.5,Paramount Resources Ltd.,1961,420095.3,319970.9,89.75,76.17,70.07
SanLing Energy Ltd.,1105,388237.4,Manitok Energy Inc.,482,332570.5,319682.5,96.12,82.34,79.7
Baytex Energy Ltd.,999,327003.4,Paramount Resources Ltd.,1961,420095.3,319391.9,97.67,76.03,74.68
Strathcona Resources Ltd.,739,328898.8,Imperial Oil Resources Limited,1699,479238.5,319218.3,97.06,66.61,65.29
Lexin Resources Ltd.,852,334562.2,Imperial Oil Resources Limited,1699,479238.5,319013.1,95.35,66.57,64.47
TAQA North Ltd.,898,443236.8,Lexin Resources Ltd.,852,334562.2,318818.4,95.29,71.93,69.46
Paramount Resources Ltd.,1961,420095.3,Canadian Oil & Gas International Inc.,454,344600.4,318784.9,92.51,75.88,71.49
Baytex Energy Ltd.,999,327003.4,Imperial Oil Resources Limited,1699,479238.5,318750.5,97.48,66.51,65.39
Tourmaline Oil Corp.,1331,374838.5,Manitok Energy Inc.,482,332570.5,318183.2,95.67,84.89,81.75
Blue Sky Resources Ltd.,983,376771.1,SanLing Energy Ltd.,1105,388237.4,317934.0,84.38,81.89,71.11
ConocoPhillips Canada Resources Corp.,924,472212.7,Manitok Energy Inc.,482,332570.5,317857.9,95.58,67.31,65.28
Baytex Energy Ltd.,999,327003.4,Tourmaline Oil Corp.,1331,374838.5,317215.3,97.01,84.63,82.47
Strathcona Resources Ltd.,739,328898.8,Paramount Resources Ltd.,1961,420095.3,316767.3,96.31,75.4,73.29
Paramount Resources Ltd.,1961,420095.3,West Lake Energy Corp.,1130,344640.8,316764.2,91.91,75.4,70.71
Lexin Resources Ltd.,852,334562.2,Paramount Resources Ltd.,1961,420095.3,316599.9,94.63,75.36,72.27
Obsidian Energy Ltd.,1729,323028.8,Imperial Oil Resources Limited,1699,479238.5,316558.2,98.0,66.05,65.17
Obsidian Energy Ltd.,1729,323028.8,ConocoPhillips Canada Resources Corp.,924,472212.7,316194.3,97.88,66.96,66.0
